Meeting Start Time,Meeting End Time,Meeting Date,Number of Attendees
12:00:00,12:30:00,14.12.2023,0
09:00:00,10:00:00,01.12.2023,8
08:00:00,16:00:00,07.12.2023,34
09:30:00,10:20:00,30.11.2023,2
12:30:00,13:00:00,30.11.2023,11
11:00:00,11:50:00,14.12.2023,167
09:30:00,10:00:00,11.12.2023,2
08:45:00,09:30:00,11.12.2023,1
11:00:00,12:00:00,13.12.2023,2
12:00:00,13:00:00,03.01.2024,35
09:00:00,09:25:00,04.01.2024,1
13:00:00,14:00:00,11.01.2024,292
08:30:00,09:00:00,15.01.2024,0
07:30:00,08:30:00,16.01.2024,0
07:30:00,08:30:00,17.01.2024,0
11:00:00,11:50:00,18.01.2024,4
14:00:00,15:00:00,11.01.2024,1
08:30:00,09:30:00,16.01.2024,1
09:00:00,09:30:00,15.02.2024,12
10:30:00,11:00:00,15.03.2024,13
13:00:00,14:00:00,24.04.2024,16
10:00:00,10:45:00,22.05.2024,20
07:30:00,08:30:00,18.01.2024,0
13:00:00,14:00:00,11.01.2024,12
09:00:00,10:00:00,12.01.2024,13
11:30:00,16:30:00,16.01.2024,18
11:00:00,12:50:00,19.03.2024,15
10:00:00,11:50:00,10.06.2024,13
10:00:00,11:50:00,24.09.2024,10
09:00:00,09:45:00,17.01.2024,1
13:00:00,13:30:00,22.01.2024,1
08:00:00,08:30:00,12.02.2024,0
08:00:00,14:00:00,19.01.2024,35
08:00:00,15:00:00,18.01.2024,35
17:00:00,20:00:00,18.01.2024,33
12:00:00,12:30:00,02.02.2024,10
10:00:00,11:00:00,06.02.2024,1
11:00:00,11:50:00,01.02.2024,13
13:00:00,13:30:00,07.02.2024,0
16:00:00,20:00:00,07.04.2024,11
08:30:00,09:00:00,12.02.2024,0
17:00:00,19:00:00,07.04.2024,15
12:55:00,17:20:00,30.04.2024,1
07:30:00,11:55:00,03.04.2024,1
09:30:00,10:00:00,01.02.2024,1
15:30:00,20:00:00,07.02.2024,13
13:00:00,13:30:00,08.02.2024,0
13:00:00,14:00:00,12.02.2024,12
12:30:00,13:00:00,09.02.2024,0
08:30:00,10:00:00,26.02.2024,46
09:00:00,09:30:00,14.06.2024,17
10:30:00,12:00:00,14.02.2024,13
09:45:00,14:00:00,30.05.2024,0
10:00:00,10:45:00,19.02.2024,1
13:45:00,14:15:00,21.02.2024,1
09:00:00,09:50:00,13.03.2024,175
12:00:00,13:00:00,28.02.2024,4
11:00:00,11:50:00,04.03.2024,12
13:00:00,13:55:00,06.03.2024,15
12:00:00,13:00:00,01.03.2024,110
12:00:00,13:00:00,15.03.2024,9
08:30:00,09:00:00,20.03.2024,0
12:00:00,13:00:00,13.03.2024,5
13:00:00,14:00:00,11.03.2024,1
07:30:00,08:15:00,13.03.2024,2
11:00:00,11:55:00,12.04.2024,8
11:00:00,11:30:00,21.03.2024,2
09:30:00,10:30:00,19.03.2024,11
13:00:00,13:30:00,19.03.2024,1
13:30:00,14:45:00,19.03.2024,15
11:00:00,12:00:00,20.03.2024,3
07:00:00,07:55:00,12.04.2024,4
13:00:00,14:00:00,20.06.2024,11
07:00:00,08:00:00,02.04.2024,1
07:00:00,13:30:00,09.04.2024,11
11:00:00,13:00:00,11.04.2024,10
13:00:00,13:30:00,04.04.2024,1
11:00:00,12:00:00,17.04.2024,3
08:30:00,10:00:00,17.04.2024,6
08:00:00,09:00:00,10.04.2024,1
12:30:00,13:00:00,30.04.2024,0
11:00:00,11:25:00,15.04.2024,1
11:30:00,12:00:00,24.04.2024,37
07:30:00,08:00:00,06.05.2024,0
12:30:00,13:30:00,22.05.2024,6
09:00:00,10:00:00,07.05.2024,2
11:30:00,12:00:00,26.04.2024,0
07:00:00,07:30:00,06.05.2024,0
15:00:00,20:00:00,27.06.2024,23
08:00:00,08:30:00,30.04.2024,2
13:00:00,14:00:00,06.05.2024,1
11:00:00,13:20:00,06.05.2024,134
07:00:00,10:00:00,24.05.2024,42
10:00:00,11:00:00,14.03.2024,8
07:00:00,08:00:00,08.05.2024,1
11:00:00,11:30:00,13.05.2024,1
12:00:00,12:45:00,14.05.2024,1
10:00:00,12:00:00,10.05.2024,9
07:00:00,07:50:00,10.05.2024,1
09:00:00,09:30:00,14.05.2024,5
11:00:00,14:00:00,29.05.2024,20
11:00:00,13:00:00,13.05.2024,14
08:00:00,08:45:00,21.05.2024,5
12:00:00,13:00:00,15.05.2024,9
07:00:00,08:00:00,15.05.2024,9
16:00:00,19:00:00,22.05.2024,8
08:00:00,09:00:00,21.05.2024,11
07:00:00,14:00:00,13.06.2024,12
08:00:00,09:00:00,16.05.2024,1
13:30:00,13:55:00,16.05.2024,3
10:00:00,14:00:00,05.06.2024,12
14:00:00,15:00:00,30.05.2024,0
07:00:00,07:30:00,23.05.2024,0
11:00:00,11:50:00,31.05.2024,25
11:30:00,13:50:00,17.06.2024,2
14:00:00,15:00:00,30.05.2024,1
09:00:00,10:00:00,05.06.2024,2
08:30:00,09:00:00,13.06.2024,0
12:00:00,13:00:00,04.06.2024,40
12:00:00,13:00:00,10.06.2024,5
14:30:00,16:50:00,17.06.2024,10
13:00:00,16:00:00,14.06.2024,0
08:00:00,08:30:00,17.06.2024,0
17:00:00,21:30:00,20.06.2024,87
12:00:00,12:45:00,19.06.2024,56
14:30:00,16:30:00,20.06.2024,11
09:00:00,10:00:00,18.06.2024,11
08:15:00,09:00:00,16.01.2024,4
09:00:00,10:30:00,20.06.2024,6
08:00:00,09:00:00,25.06.2024,4
11:00:00,12:00:00,27.06.2024,7
12:30:00,12:55:00,25.06.2024,9
10:00:00,10:15:00,27.06.2024,1
10:15:00,10:30:00,27.06.2024,1
10:30:00,10:45:00,27.06.2024,1
10:45:00,11:00:00,27.06.2024,1
12:00:00,12:30:00,02.07.2024,2
12:00:00,12:45:00,03.07.2024,2
11:00:00,11:30:00,03.07.2024,10
10:00:00,10:25:00,04.07.2024,1
08:00:00,08:50:00,09.07.2024,5
16:00:00,19:00:00,14.08.2024,7
08:30:00,09:00:00,08.08.2023,15
08:30:00,09:20:00,15.08.2023,15
08:00:00,09:00:00,31.08.2023,1
12:00:00,13:00:00,07.09.2023,469
07:30:00,08:30:00,08.09.2023,1
12:00:00,13:00:00,14.09.2023,470
12:00:00,13:00:00,19.10.2023,517
12:00:00,13:00:00,12.10.2023,481
13:00:00,14:00:00,02.11.2023,493
13:00:00,14:00:00,09.11.2023,493
09:00:00,09:45:00,10.11.2023,6
12:00:00,13:00:00,22.11.2023,425
13:00:00,14:00:00,16.11.2023,335
14:00:00,14:25:00,27.11.2023,3
09:00:00,09:45:00,08.12.2023,6
10:00:00,11:00:00,12.12.2023,15
13:00:00,14:00:00,14.12.2023,528
09:00:00,10:50:00,04.01.2024,12
09:00:00,10:50:00,11.01.2024,12
09:00:00,09:45:00,12.01.2024,6
13:00:00,14:00:00,18.01.2024,352
13:00:00,16:00:00,01.02.2024,373
12:00:00,13:00:00,14.02.2024,431
09:00:00,09:45:00,09.02.2024,6
09:00:00,10:15:00,14.02.2024,12
13:00:00,14:00:00,22.02.2024,401
12:00:00,12:30:00,29.03.2024,10
09:00:00,09:45:00,15.03.2024,2
13:00:00,14:00:00,11.03.2024,1
13:00:00,14:00:00,14.03.2024,413
08:00:00,09:00:00,21.03.2024,1
09:00:00,09:30:00,19.03.2024,1
13:00:00,14:00:00,28.03.2024,419
13:00:00,14:00:00,25.03.2024,1
13:00:00,14:00:00,29.03.2024,1
12:00:00,13:00:00,01.04.2024,1
12:00:00,13:00:00,11.04.2024,421
11:00:00,12:00:00,30.04.2024,438
12:00:00,13:00:00,02.05.2024,422
08:30:00,09:30:00,07.05.2024,11
10:00:00,16:00:00,08.05.2024,8
10:00:00,11:00:00,14.03.2024,8
10:00:00,11:00:00,21.03.2024,8
09:00:00,10:00:00,11.04.2024,8
09:00:00,10:00:00,18.04.2024,8
09:00:00,10:00:00,25.04.2024,8
09:00:00,10:00:00,02.05.2024,8
08:00:00,09:00:00,08.05.2024,10
11:00:00,12:00:00,28.05.2024,442
12:00:00,13:00:00,09.05.2024,423
11:00:00,11:30:00,10.05.2024,12
09:00:00,10:00:00,16.05.2024,11
09:00:00,10:00:00,23.05.2024,11
08:00:00,08:25:00,30.05.2024,11
12:00:00,13:00:00,30.05.2024,428
11:00:00,11:30:00,07.06.2024,12
09:00:00,10:00:00,06.06.2024,11
11:00:00,11:30:00,05.07.2024,12
12:00:00,13:00:00,13.06.2024,428
11:00:00,11:30:00,17.06.2024,1
07:15:00,08:00:00,28.05.2024,4
07:00:00,07:30:00,05.06.2024,5
11:00:00,12:00:00,26.06.2024,444
11:00:00,11:30:00,21.06.2024,12
11:00:00,11:30:00,01.07.2024,1
08:00:00,09:00:00,09.07.2024,13
08:00:00,09:00:00,16.07.2024,13
08:00:00,09:00:00,23.07.2024,13
